message,tool_prediction,correct_label,timestamp
WIN BIG! Enter our contest for a chance to win cash prizes! Visit: lucky-winner.io,spam,spam,2025-10-05 17:37:09
WIN BIG! Enter our contest for a chance to win cash prizes! Visit: lucky-winner.io,spam,spam,2025-10-05 17:40:35
